Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water(mg/L),Experimental Solubility in Water(g/L),Experimental Solubility in Water(mol/L),LogS,Temperature,Experiment Reference,Datagroup,Solvation Energy,Dipole Moment,Molecular Volume,Molecular Surface Area,QXX,QYY,QZZ,Standard InChIKey,Cal logP,Cal MR,TPSA,Labute ASA,Balaban J index,Bertz CT index,Isomer
Butanedioic acid. (1-methylethenyl)-,CC(=C)C(CC(=O)O)C(=O)O,158.1536,087989-21-7,75592.56501,75.59256501,0.477969297,-0.3206,15,OChem,G4,23.0867721,6.530972727,114.41,203.344,-36.27283265,23.89077905,12.38205359,JUJVFYCXJFWVJY-UHFFFAOYSA-N,0.738,38.1926,74.6,64.15081239,4.234630596,180.6172546,2
2.4.6-Trihydroxybenzophenone,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2O)O)O,230.2196,003555-86-0,3099.861534,3.099861534,0.013464803,-1.8708,22,OChem,G4,23.09805823,6.691665661,155.26,264.338,40.43450604,-28.58088045,-11.85362559,CPEXFJVZFNYXGU-UHFFFAOYSA-N,2.0344,61.3109,77.76,97.3976628,2.521690658,537.8821875,1
HYDRAZINECARBOXAMIDE. N-(4-ETHOXYPHENYL)-,CCOC1=CC=C(C=C1)NC(=O)NN,195.2206,074099-07-3,4399.726124,4.399726124,0.022537202,-1.6471,20,OChem,G4,23.10879652,6.008756958,141.383,247.413,64.65825612,-40.24831364,-24.40994248,ZKSWEXOGEZLKIX-UHFFFAOYSA-N,1.0805,53.9528,76.38,82.21104788,2.589071737,297.4303059,1
4'-((6-HYDROXY-M-TOLYL)AZO)ACETANILIDE,CC1=C/C(=N\NC2=CC=C(C=C2)NC(=O)C)/C(=O)C=C1,269.3024,002832-40-8,1.180973694,0.001180974,4.38531E-06,-5.358,25,OChem,G4,23.13620313,10.97682286,186.912,319.126,-60.45429965,32.73772259,27.71657706,ZGLBGXHBFHCOAF-NBVRZTHBSA-N,2.4981,79.7074,70.56,116.619072,2.054276752,625.0236406,2
Sulfanilamide. N1-(4-pentyl-2-pyrimidinyl)-,CCCCCC1=CC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,320.4086,107203-72-5,199.9881046,0.199988105,0.000624166,-3.2047,37,OChem,G4,23.14162462,13.9894857,209.747,365.959,-48.25589459,39.97055193,8.285342658,ZFVJMQJUMYSDOT-UHFFFAOYSA-N,2.5923,86.9239,97.97,130.4030326,2.118623603,714.5772356,1
Hexanedioic acid. 3-butyl-,CCCCC(CCC(=O)O)CC(=O)O,202.2498,024767-93-9,8100.057481,8.100057481,0.040049768,-1.3974,20,OChem,G4,23.19458538,1.775815425,148.71,271.576,-62.37404576,50.59775228,11.77629348,SYBIZQPCZZHMNO-UHFFFAOYSA-N,2.1323,52.1376,74.6,83.93524176,3.83195049,188.5610197,2
CLORANSULAM,CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)C(=O)OC)F,429.8096,147150-35-4,15.99838381,0.015998384,3.7222E-05,-4.4292,25,OChem,G4,23.21786324,8.975026919,241.205,403.482,-40.03031282,26.53229656,13.49801626,BIKACRYIQSLICJ-UHFFFAOYSA-N,1.9029,95.509,124.78,162.861876,2.078252129,1167.083157,1
(3R.4S.5S)-3.4-dihydroxy-5-[(1R.2R)-1.2.3-trihydroxypropyl]oxolan-2-one,C([C@H]([C@H]([C@H]1[C@H]([C@H](C(=O)O1)O)O)O)O)O,208.1676,000089-67-8,450000.6439,450.0006439,2.161722784,0.3348,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,23.22564459,7.47459115,116.081,212.541,-32.81706091,24.10895956,8.708101346,VIVCRCODGMFTFY-DVKNGEFBSA-N,-3.6523,40.993,127.45,79.16930865,2.657850764,218.08385,32
Benzenemethanol. 4-amino-.alpha...alpha.-bis(4-a,CC1=C(C=CC(=C1)C(C2=CC=C(C=C2)N)(C3=CC=C(C=C3)N)O)N,319.4054,000076-82-4,300.0145063,0.300014506,0.000939291,-3.0272,20,OChem,G4,23.23810885,4.902823832,208.763,364.182,39.4325563,3.98563106,-43.41818736,OYHZNLZYIRSDHN-UHFFFAOYSA-N,3.02582,99.401,98.29,141.0893816,2.247180318,809.5573681,1
CYCLACILLIN,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,341.4244,003485-14-1,31138.27536,31.13827536,0.091201084,-1.04,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,23.2417059,6.052504596,199.369,357.198,-43.23501784,11.83415442,31.40086342,HGBLNBBNRORJKI-WCABBAIRSA-N,0.2797,85.6619,112.73,138.8824438,1.709743604,558.9252433,8
1.2-Benzisothiazol-3-amine. 1.1-dioxide,C1=CC=C2C(=C1)C(=NS2(=O)=O)N,182.1966,007668-28-2,639.9414902,0.63994149,0.003512368,-2.4544,18,OChem,G4,23.25210951,13.12614438,109.659,185.681,-21.67811286,-11.66462004,33.3427329,QNOQSOJREDRYBC-UHFFFAOYSA-N,0.0942,44.3522,72.52,69.78650316,2.856172548,462.0496495,1
4-amino-N-(5.6-dimethoxypyrimidin-4-yl)benzenesulfonamide,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,310.327,002447-57-6,2700,2.7,0.0087005,-2.060455799,20,OChem,G4,23.31844169,9.778197147,179.907,310.947,69.15782166,-50.3088814,-18.84894026,PJSFRIWCGOHTNF-UHFFFAOYSA-N,0.8768,76.7989,116.43,121.5352967,2.389997545,731.422688,1
1-ethyl-4-oxo-[1.3]dioxolo[4.5-g]cinnoline-3-carboxylic acid,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,262.2214,028657-80-9,961,0.961,0.003664842,-2.435944744,20,OChem,G4,23.36825217,16.68355059,159.79,272.342,-44.86947408,36.4557342,8.413739885,VDUWPHTZYNWKRN-UHFFFAOYSA-N,0.8433,64.7593,90.65,106.5290944,2.429100338,749.8486452,1
sulfapyrazine,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CN=C2,250.2746,000116-44-9,49.99387223,0.049993872,0.000199756,-3.6995,37,OChem,G4,23.39421895,10.83666075,154.613,262.762,-40.78070099,30.515245,10.26545598,YEAICDDXRUOCKJ-UHFFFAOYSA-N,0.8596,63.6949,97.97,98.57832206,2.285509074,595.9628413,1
Benzenesulfonamide. 4-amino-N-(3-methyl-2(3H)-th,CN1C=CSC1=NS(=O)(=O)C2=CC=C(C=C2)N,269.3358,058944-06-2,219.985514,0.219985514,0.00081677,-3.0879,37,OChem,G4,23.4042754,11.65724498,171.801,286.646,64.12449902,-18.45765886,-45.66684016,SDSVKMXBDBZYJJ-UHFFFAOYSA-N,0.9584,66.8932,77.45,102.9194113,2.522799347,680.8411317,2
N1-(4-NITROPHENYL)SULFANILAMIDE,C1=CC(=CC=C1N)S(=O)(=O)NC2=CC=C(C=C2)[N+](=O)[O-],293.2966,006829-82-9,33.67495535,0.033674955,0.000114815,-3.94,25,OChem,G4,23.46199729,8.283988125,170.173,291.671,-82.22645549,24.49749812,57.72895737,ACJNABKXDUDYAM-UHFFFAOYSA-N,1.9778,74.7593,115.33,114.7920018,2.236282885,724.3026813,1
(2R.3S)-2.3-dihydroxybutanedioic acid,[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,150.0878,000147-73-9,560202.9503,560.2029503,3.732501578,0.572,20,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,23.46441656,5.233772072,90.748,163.764,-23.59852921,18.16306188,5.435467335,FEWJPZIEWOKRBE-XIXRPRMCSA-N,-2.1226,27.2852,115.06,55.33405658,4.069511909,133.826806,4
Benzenesulfonamide. 4-amino-N-(methylfurazanyl)-,CC1=NON=C1NS(=O)(=O)C1=CC=C(N)C=C1,254.263,017103-53-6,1800.04419,1.80004419,0.007079458,-2.15,37,OChem,G4,23.46613828,9.289430963,156.157,268.312,59.54758787,-5.882592306,-53.66499557,PPVUTYXZHCLELJ-UHFFFAOYSA-N,0.76102,60.6979,111.11,97.64030605,2.314689276,617.9454528,1
9-Octadecenoic acid. 12-(sulfooxy)-. (Z)-,CCCCCCC(C/C=C\CCCCCCCC(=O)O)OS(=O)(=O)O,378.523,032430-00-5,99998.22091,99.99822091,0.264180039,-0.5781,25,OChem,G4,23.46746242,7.63789745,253.506,462.343,39.48653255,-4.166459536,-35.32007302,CYKFQSXTIVGYDT-XFXZXTDPSA-N,4.9064,98.8924,100.9,152.1606049,3.85679366,458.1867486,4
2-[N-[(3.5-difluorophenyl)carbamoylamino]-C-methylcarbonimidoyl]pyridine-3-carboxylic acid,C/C(=N\NC(=O)NC1=CC(=CC(=C1)F)F)/C2=C(C=CC=N2)C(=O)O,334.2816,109293-97-2,5850,5.85,0.017500215,-1.756956606,20,OChem,G4,23.4688849,8.640048406,212.097,357.266,-22.26883485,-2.198676815,24.46751166,IRJQWZWMQCVOLA-DNTJNYDQSA-N,2.6037,81.9197,103.68,134.5814454,2.095128366,803.8665051,2
1-(2-chlorophenyl)sulfonyl-3-(4-methoxy-6-methyl-1.3.5-triazin-2-yl)urea,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl,357.7709,064902-72-3,12500,12.5,0.03493856,-1.456695,20,OChem,G4,23.50225182,14.98370426,213.771,356.223,40.07833978,-7.335168501,-32.74317128,VJYIFXVZLXQVHO-UHFFFAOYSA-N,1.35242,81.9082,123.17,136.6811014,2.163978048,843.0947314,1
Propanediamide,C(C(=O)N)C(=O)N,102.0926,000108-13-4,83003.09072,83.00309072,0.813017699,-0.0899,8,OChem,G4,23.55783861,9.678503308,77.226,139.068,14.89838267,-6.063597889,-8.834784779,WRIRWRKPLXCTFD-UHFFFAOYSA-N,-1.6529,23.0058,86.18,40.47196085,3.31801959,87.10802962,1
DIS. A. 10,CC1=C(C=CC(=C1)N(CCO)CCO)N=NC2=C(C=C(C=C2Cl)[N+](=O)[O-])Cl,413.2596,058528-60-2,0.453965607,0.000453966,1.0985E-06,-5.9592,25,OChem,G4,23.56645535,13.19847988,243.167,410.796,50.09345753,5.486763291,-55.58022082,VJCRGIYTUNCUJU-UHFFFAOYSA-N,4.41642,104.856,111.56,165.3677951,2.287471574,831.8173161,2
Phenol. 2.2'-sulfonylbis-,C1=CC=C(C(=C1)O)S(=O)(=O)C2=CC=CC=C2O,250.2686,015038-67-2,120.0069406,0.120006941,0.000479513,-3.3192,23,OChem,G4,23.63082072,10.84633439,156.185,264.069,-25.26688539,20.55800257,4.708882815,QUWAJPZDCZDTJS-UHFFFAOYSA-N,1.9306,61.6654,74.6,98.70236321,2.674969923,595.5601342,1
IMAZOSULFURON,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC,414.8227,122548-33-8,6.749358766,0.006749359,1.62705E-05,-4.7886,25,OChem,G4,23.63209243,13.62200391,223.935,374.711,-41.01925941,-3.981926877,45.00118629,NAGRVUXEKKZNHT-UHFFFAOYSA-N,1.3053,94.6782,136.81,157.9128071,1.857720535,1094.133422,1
CARBROMAL;  ADALIN,CCC(CC)(C(=O)NC(=O)N)Br,237.0959,000077-65-6,495.3635465,0.495363547,0.002089296,-2.68,20,OChem,G4,23.64886175,11.75201689,137.717,238.383,-28.47126388,-0.957637511,29.42890139,OPNPQXLQERQBBV-UHFFFAOYSA-N,1.135,49.9661,72.19,80.0092484,4.318367796,189.8453973,1
Acetone. 4-(p-nitrophenyl)semicarbazone,CC(C)=NNC(=O)NC1=CC=C(C=C1)N(=O)=O,236.2298,017433-87-3,59.99771107,0.059997711,0.00025398,-3.5952,20,OChem,G4,23.65560169,14.1899982,160.702,276.878,26.3062783,6.366643177,-32.67292147,XBOWKFFJMDFKOW-UHFFFAOYSA-N,2.1121,64.0338,96.63,97.67085227,2.602007486,449.123744,1
(2S.5R.6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3.3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,349.4038,000069-53-4,10100.14535,10.10014535,0.028906799,-1.539,21,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,23.70651423,3.41064039,206.165,360.321,32.50595245,2.033401842,-34.53935429,AVKUERGKIZMTKX-NJBDSQKTSA-N,0.3181,89.0289,112.73,143.1206586,1.711293316,693.8227554,16
1H-Purin-2-amine. 6-(trifluoromethyl)-,C1=NC2=C(NC(=NC2=N1)N)C(F)(F)F,203.1263,002993-20-6,148.9931005,0.148993101,0.0007335,-3.1346,20,OChem,G4,23.7104793,11.62432704,124.737,210.042,30.41874364,-26.28385392,-4.134889713,BPGSASFKCZQNNZ-UHFFFAOYSA-N,0.9055,40.2141,80.48,75.53706559,2.713173406,433.8173603,1
Imidodicarbonimidic diamide. N-1-naphthalenyl-,C1=CC=C2C(=C1)C=CC=C2N=C(N)N=C(N)N,227.2682,013261-53-5,1100.116484,1.100116484,0.004840609,-2.3151,20,OChem,G4,23.71850858,9.802247545,160.874,276.052,38.5492979,-8.02685729,-30.5224406,UUBZPMKBMHXGNE-UHFFFAOYSA-N,1.0594,71.0402,102.78,98.65326894,2.529588085,591.372407,2
Galactaric acid. diethyl ester,CCOC(=O)[C@H]([C@@H]([C@@H]([C@H](C(=O)OCC)O)O)O)O,266.2474,015909-67-8,22697.88417,22.69788417,0.085251102,-1.0693,15,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,23.7363207,9.210997514,160.968,294.7,42.02190069,-17.29755712,-24.72434357,VYFOOXBIRRKSIH-SOSBWXJGSA-N,-2.4438,57.2932,133.52,103.7507997,4.521600584,251.0512447,16
Urea. N.N'-bis(4-acetylphenyl)-,CC(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C(=O)C,296.325,020782-48-3,40.99853072,0.040998531,0.000138357,-3.859,15,OChem,G4,23.80051682,1.55711591,215.503,364.541,-93.60818419,68.62522773,24.98295646,JUXJZTJLUULZRU-UHFFFAOYSA-N,3.7358,85.5344,75.27,127.8974986,1.971247382,642.1888387,1
Acetamide. N-[4-[[(4.6-dimethyl-2-pyrimidinyl)am,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C)C,320.3654,000100-90-3,1149.861692,1.149861692,0.003589219,-2.445,37,OChem,G4,23.81668555,12.20702013,208.717,357.938,52.68582717,-2.836317595,-49.84950958,LJKAKWDUZRJNPJ-UHFFFAOYSA-N,1.85264,83.0602,101.05,128.4095841,2.241602681,781.0877045,1
Acetamide. N-[4-[[(4-methyl-2-pyrimidinyl)amino],CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,306.3386,000127-73-1,279.9636992,0.279963699,0.000913903,-3.0391,37,OChem,G4,23.87681407,7.171938753,181.932,313.968,-65.58342224,37.52819585,28.05522639,PHFJZKMLXDFUNB-UHFFFAOYSA-N,1.54422,78.3232,101.05,122.044642,2.211040318,757.2407697,1
PROPANENITRILE. 3- 4- (2-CHLORO-4-NITROPHENYL)A,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)[N+](=O)[O-])Cl)N(CCC#N)CCO,373.8,006657-33-6,0.277101768,0.000277102,7.4131E-07,-6.13,25,OChem,G4,23.89034422,10.07926551,225.722,380.819,49.44547799,-11.01078395,-38.43469404,UHWBGWWOTKVSDD-UHFFFAOYSA-N,4.37598,98.2532,115.12,154.6628748,2.118205565,833.2822583,2
Benzenesulfonamide. 4-amino-N-(2-amino-5-pyrimid,NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=C(N)N=C1,265.2892,071119-38-5,82.98881629,0.082988816,0.000312824,-3.5047,37,OChem,G4,23.9031631,10.01192211,159.673,275.612,33.60731859,4.364571965,-37.97189055,KDWIQQMGKVEFSK-UHFFFAOYSA-N,0.4418,68.1073,123.99,103.9182128,2.267141922,636.9731861,1
Acetanilide. 4'-(3-pyridazinylsulfamoyl)-,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CN=N1,292.3118,106840-27-1,1649.857165,1.649857165,0.005644169,-2.2484,37,OChem,G4,23.90355229,10.04253394,183.325,310.244,49.61538224,-6.260534623,-43.35484762,CAESXMWIHSGVKP-UHFFFAOYSA-N,1.2358,73.5862,101.05,115.6481534,2.194477787,699.2421108,1
PROSTAGLANDIN E1,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,354.4856,000745-65-3,75.78767741,0.075787677,0.000213796,-3.67,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,23.92050032,4.316323165,242.014,446.733,-26.76602118,19.70231033,7.063710842,GMVPRGQOIOIIMI-DWKJAMRDSA-N,3.4751,97.2374,94.83,150.6834625,2.389223445,431.80245,32
L-Alanine. N-[(2-methyl-5-nitrophenyl)sulfonyl]-,CC(NS(=O)(=O)C1=CC(=CC=C1C)N(=O)=O)C(O)=O,288.2746,067320-40-5,1399.930186,1.399930186,0.004856238,-2.3137,12,OChem,G4,23.93302229,5.098985487,156.853,275.396,47.72972731,-28.42266333,-19.30706398,TVQAUZKNFJQEJF-UHFFFAOYSA-N,0.65462,65.2527,126.61,108.8105412,3.242275946,624.90709,2
Benzoic acid amide. 3-(3-aminobenzoylamino)-,NC(=O)C1=CC=CC(NC(=O)C2=CC(N)=CC=C2)=C1,255.2756,081882-67-9,360.0056408,0.360005641,0.001410263,-2.8507,12,OChem,G4,23.94253529,10.35201583,163.233,279.938,-24.59693732,22.46405693,2.132880391,LJQDENZRNPWESK-UHFFFAOYSA-N,1.62,73.7675,98.21,109.7710693,2.191836343,638.0931328,1
Aldicarb Sulfone,CC(C)(/C=N/OC(=O)NC)S(=O)(=O)C,222.2586,001646-88-4,9996.744086,9.996744086,0.044977985,-1.347,25,OChem,G4,23.97292764,11.38014765,147.066,261.386,17.3882203,-14.36417846,-3.024041836,YRRKLBAKDXSTNC-WEVVVXLNSA-N,0.1514,52.9555,84.83,83.22859259,4.455302554,331.5989577,2
1.2-BIS(2-CHLOROETHYLSULFONYL)ETHANE,C(CS(=O)(=O)CCCl)S(=O)(=O)CCCl,283.1844,003944-87-4,10080.20409,10.08020409,0.035595902,-1.4486,30,OChem,G4,23.97309911,3.835293102,168.443,283.408,36.02739808,9.392576661,-45.41997474,FQMRVYDYXSOKHL-UHFFFAOYSA-N,0.2936,58.7476,68.28,94.42129082,4.189486887,310.027794,1
N.N'bis--alanine,CC(C(=O)O)N(CCC#N)CCC#N,195.222,005464-34-6,170027.3766,170.0273766,0.870943729,-0.060009904,25,OChem,G4,23.9806672,9.701007407,136.507,238.195,-47.0785208,37.81677349,9.261747303,LLIQJKREYJVRFV-UHFFFAOYSA-N,0.58886,49.1308,88.12,83.15953683,4.172050436,246.211082,2
Acetamide. N-[4-[(2-pyrimidinylamino)sulfonyl]ph,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CC=N2,292.3118,000127-74-2,149.9844888,0.149984489,0.000513098,-3.2898,37,OChem,G4,23.99804442,12.79919551,182.449,309.642,39.9097783,-29.0780777,-10.8317006,NJIZUWGMNCUKGU-UHFFFAOYSA-N,1.2358,73.5862,101.05,115.6796999,2.194477787,699.2421108,1
Dexamethasone,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)[C@@]1(O)C(=O)CO,392.4665,000050-02-2,89.08459139,0.089084591,0.000226986,-3.644,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,24.01035316,8.807422552,198.581,365.818,-93.92735931,76.64477235,17.28258697,UREBDLICKHMUKA-CXSFZGCWSA-N,1.8957,99.9444,94.83,163.8717856,1.837691879,804.7488255,256
Benzamide. 2.5-dihydroxy-N-(2-hydroxyethyl)-,C1=CC(=C(C=C1O)C(=O)NCCO)O,197.1902,061969-53-7,56400.80823,56.40080823,0.286022369,-0.5436,25,OChem,G4,24.05432332,5.027333269,132.477,233.767,36.01425007,-14.3882852,-21.62596487,YNCOLLPSNIHBGO-UHFFFAOYSA-N,-0.1801,49.1906,89.79,80.620315,2.829841319,337.583881,1
Sulfathiourea,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)S,231.287,000515-49-1,10998.94988,10.99894988,0.047555418,-1.3228,37,OChem,G4,24.06488593,10.72822474,142.332,238.181,39.97417662,1.3496667,-41.32384332,UEMLYRZWLVXWRU-UHFFFAOYSA-N,0.202,58.6486,98.54,87.28729167,3.181937534,446.3281809,2
Ethanediimidamide. N.N''-dihydroxy-,C(=C(\N)/N=O)(\N)/NO,118.095,002580-79-2,19721.11704,19.72111704,0.166993666,-0.7773,25,OChem,G4,24.09044435,11.03048511,78.731,141.571,-12.42819613,-2.437246772,14.8654429,XYIWQQBZKLUEND-UPHRSURJSA-N,-1.2244,26.118,113.73,45.08723792,4.027243339,119.2067179,2
(2S)-2-[(1R)-1-carboxyethyl]selanylpropanoic acid,C[C@H](C(=O)O)[Se][C@@H](C)C(=O)O,225.1026,022659-18-3,56948.26683,56.94826683,0.252988046,-0.5969,15,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,24.09803735,3.98743871,119.887,207.109,-44.84774677,33.35312813,11.49461864,PXLQGDIGGVWXLW-ZXZARUISSA-N,0.4766,39.8736,74.6,70.75603439,3.844226697,149.9652183,4
Benzenesulfonamide. 4-amino-N-2-pyridinyl-. N-ox,C1=CC(=NS(=O)(=O)C2=CC=C(C=C2)N)N(C=C1)O,265.2862,019250-24-9,1050.061315,1.050061315,0.003958221,-2.4025,37,OChem,G4,24.12468859,13.51316729,162.973,277.288,47.03566764,-6.424184199,-40.61148344,POXFXLAMAIJLDM-UHFFFAOYSA-N,0.5972,65.2197,97.68,103.6623781,2.545239349,717.6986994,2
Acetic acid. 2.2'-selenobis-,C(C(=O)O)[Se]CC(=O)O,197.049,006228-62-2,658224.7909,658.2247909,3.34041173,0.5238,15,OChem,G4,24.1289809,4.835597266,107.865,181.274,-38.92913268,6.821967661,32.10716502,AXGZQGKVFWKBSF-UHFFFAOYSA-N,-0.3036,30.6396,74.6,58.02615016,3.102825942,107.7360429,1
BENSULTAP,CN(C)C(CSS(=O)(=O)C1=CC=CC=C1)CSS(=O)(=O)C2=CC=CC=C2,431.5972,017606-31-4,0.750029972,0.00075003,1.7378E-06,-5.76,25,OChem,G4,24.25352607,12.77308657,260.938,436.488,-67.94944464,7.200086679,60.74935796,YFXPPSKYMBTNAV-UHFFFAOYSA-N,3.1608,109.6466,71.52,162.3699826,2.014935594,824.7937659,1
Thiazolsulfone,C1=CC(=CC=C1N)S(=O)(=O)C2=CN=C(S2)N,255.309,000473-30-3,400.005649,0.400005649,0.001566751,-2.805,28,OChem,G4,24.30099002,11.90644754,163.376,272.885,52.57420705,-15.30313451,-37.27107255,KVEZIRCKNOTGKY-UHFFFAOYSA-N,1.1403,62.8326,99.07,96.65368835,2.509149455,601.939265,1
4-amino-N-[4-(diethylamino)pyrimidin-2-yl]benzenesulfonamide,CCN(CC)C1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1,321.3964,071119-24-9,41.99919902,0.041999199,0.000130677,-3.8838,37,OChem,G4,24.31170008,13.71885336,196.18,342.786,-42.04246524,0.957109564,41.08535567,BAKWJOULPYBIME-UHFFFAOYSA-N,1.7058,87.2559,101.21,129.7979242,2.260562775,727.1533459,1
4-SULFANILAMIDOPYRIMIDINE,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=NC=C2,250.2746,000599-82-6,3540.110156,3.540110156,0.014144904,-1.8494,37,OChem,G4,24.31471547,9.873990578,160.006,271.397,-51.93219526,-1.933627112,53.86582237,PXDBUWPMANSAFI-UHFFFAOYSA-N,0.8596,63.6949,97.97,98.57832206,2.285509074,595.9628413,1
ACETAMIDE. 2-(BENZOYLOXY)-N-[2-HYDROXY-1.1-BIS(H,C1=CC=C(C=C1)C(=O)OCC(=O)NC(CO)(CO)CO,283.2804,115193-31-2,15283.2785,15.2832785,0.053951062,-1.268,22,OChem,G4,24.34258597,3.535346079,183.528,322.119,-25.62900595,5.180463651,20.4485423,MSMHOCZOEWMZOH-UHFFFAOYSA-N,-1.3247,68.8556,116.09,115.3551508,2.495369812,435.1697574,1
Benzenesulfonamide. 4-amino-N-(6-amino-3-pyridin,NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=C(N)C=C1,264.3014,017103-45-6,1290.028971,1.290028971,0.004880901,-2.3115,37,OChem,G4,24.34561738,9.026481469,161.072,278.784,-50.52267771,1.653668946,48.86900877,LVQULDWBTMQSCU-UHFFFAOYSA-N,1.0468,70.3123,111.1,104.6985648,2.267141922,635.7483598,1
Benzenesulfonamide. 4-amino-N-(5-propyl-1.3.4-th,CCCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,298.3772,071119-32-9,146.9825014,0.146982501,0.000492606,-3.3075,20,OChem,G4,24.35818567,8.951396026,197.467,333.544,63.86978407,-18.09817466,-45.77160941,UAFUDNOKRZAGCJ-UHFFFAOYSA-N,1.8736,75.5669,97.97,115.2819652,2.180095387,649.5896385,1
Glycine. N-[N-(2-naphthalenylsulfonyl)glycyl]-,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NCC(=O)NCC(=O)O,322.335,093886-70-5,649.9911821,0.649991182,0.002016508,-2.6954,20,OChem,G4,24.36226815,11.79567651,179.999,312.516,-25.46365765,4.092618227,21.37103942,UDUALFJGGCLPRJ-UHFFFAOYSA-N,0.3189,79.782,112.57,126.5506143,2.082155259,816.8479332,1
(4S.4aR.5S.5aR.6S.12aR)-4-(dimethylamino)-1.5.6.10.11.12a-hexahydroxy-6-methyl-3.12-dioxo-4.4a.5.5a-tetrahydrotetracene-2-carboxamide,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,460.4396,006153-64-6,325.9662738,0.325966274,0.000707946,-3.15,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,24.3674061,4.737508364,244.323,431.494,45.12264538,-4.463679438,-40.65896594,OWFJMIVZYSDULZ-PXOLEDIWSA-N,-1.4002,111.5012,201.85,187.2234706,2.106207563,1182.306622,64
S-(-)-Nadifloxacin;  Jinofloxacin,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,360.3843,124858-35-1,59.80890659,0.059808907,0.000165959,-3.78,27,OChem,G4,24.37967459,11.61956869,207.426,368.694,-42.96220817,17.28296118,25.67924699,JYJTVFIEFKZWCJ-UHFFFAOYSA-N,2.3071,95.6111,82.77,149.0173267,2.004088915,960.3910631,2
4-OXO-4H-PYRAN-2.6-DICARBOXYLIC ACID,C1=C(OC(=CC1=O)C(=O)O)C(=O)O,184.105,000099-32-1,14300.97289,14.30097289,0.077678351,-1.1097,25,OChem,G4,24.38218619,6.20505447,117.94,199.369,-31.3396612,7.03088127,24.30877993,PBAYDYUZOSNJGU-UHFFFAOYSA-N,0.0362,38.8966,104.81,71.03913798,3.350192976,379.9860983,1
