InChIKey,solute_id,smiles_canon,molecular_weight,TPSA,polarity_class,size_class,hybrid_class
SDJZXAABVIWCNW-BNXVUDNTSA-N,solute_6755,CCC(CC)CCN1CCC23CCCCC2C1Cc1ccc(O)cc13.O=C(O)C(O)C(O)C(=O)O,491.62500000000017,138.53,polar,large,"polar,large"
GXGJIOMUZAGVEH-UHFFFAOYSA-N,solute_6757,CCc1ccc(C)c2ccc(C)c-2c1,184.28199999999998,0.0,non-polar,small,"non-polar,small"
WBNPMYJLGASBPI-UHFFFAOYSA-N,solute_6758,O=C(O)CCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,321.785,60.769999999999996,polar,large,"polar,large"
GFTHYQRJEOORHK-UHFFFAOYSA-N,solute_6759,CC(CN(C)C)CC1(O)c2ccccc2CCc2ccccc21,309.45300000000003,23.47,polar,large,"polar,large"
RYQOGSFEJBUZBX-UHFFFAOYSA-N,solute_6760,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,294.442,6.48,non-polar,small,"non-polar,small"
XZZXIYZZBJDEEP-UHFFFAOYSA-N,solute_6761,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,316.87600000000003,6.48,non-polar,large,"non-polar,large"
URSRSKSNFPUKGH-UHFFFAOYSA-N,solute_6762,CN(C)CCOC(C)(c1ccccc1)c1ccc(Br)cc1,348.284,12.47,non-polar,large,"non-polar,large"
SIEYZYONZYIIJH-AGSMNRHJSA-N,solute_6763,CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OCCC(C)C)cc12.Cl.Cl,455.4700000000002,45.59,polar,large,"polar,large"
SUQGLJRNDJRARS-UHFFFAOYSA-N,solute_6764,O=C(Oc1cccc(OC(=O)c2ccccc2)c1)c1ccccc1,318.328,52.6,polar,large,"polar,large"
FWXCTXLSDFLQJC-UHFFFAOYSA-N,solute_6765,CCCCCCCOc1cccc(NC(=O)OCC[NH+]2CCCCC2)c1.[Cl-],398.97500000000025,52.0,polar,large,"polar,large"
PWQRTIDMAHIZSV-UHFFFAOYSA-N,solute_6766,CC(C)=CCCC(C)CCN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,419.5260000000002,104.22,polar,large,"polar,large"
ZDGVLDKCQRCCKI-ICDZXHCJSA-N,solute_6767,CSc1ccc(CCN2CCC34CCCCC3C2Cc2ccc(O)cc24)cc1,393.59600000000006,23.47,polar,large,"polar,large"
GEHQTKKHEHGIJB-UHFFFAOYSA-N,solute_6768,COc1c(O)ccc2c1N(CCCN(C)C)c1cc(Cl)ccc1S2.Cl,401.359,35.940000000000005,polar,large,"polar,large"
WCMMILVIRZAPLE-UHFFFAOYSA-M,solute_6769,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,385.1800000000003,20.23,polar,large,"polar,large"
WQDGKJKVSWEERW-UHFFFAOYSA-N,solute_6770,Brc1ccc(C(OCC[NH2+]N2CCCC2)c2ccccc2)cc1.[Cl-],411.7710000000001,29.08,polar,large,"polar,large"
VXFJYXUZANRPDJ-MQBSTWLZSA-N,solute_6771,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21,430.54500000000036,95.94000000000001,polar,large,"polar,large"
RRGUKTPIGVIEKM-UHFFFAOYSA-N,solute_6772,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,369.4690000000002,81.93,polar,large,"polar,large"
NJVOZLGKTAPUTQ-UHFFFAOYSA-M,solute_6773,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,385.4820000000001,0.0,non-polar,large,"non-polar,large"
BJFPXELCDQCHFX-UHFFFAOYSA-N,solute_6774,CCN(C)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,338.49500000000006,46.33,polar,large,"polar,large"
WWMPOSZANYFKNP-XJXJHPFJSA-M,solute_6775,C=CC1C[N+]2(CCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],402.9660000000001,42.35000000000001,polar,large,"polar,large"
XJGBDJOMWKAZJS-UHFFFAOYSA-N,solute_6776,CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,310.39300000000003,46.53,polar,large,"polar,large"
FAYONKYSJFJACM-GEEYTBSJSA-M,solute_6777,CC[N+](CC)(CCOc1ccc(C=Cc2ccccc2)cc1)Cc1ccccc1.[Br-],466.46300000000014,9.23,non-polar,large,"non-polar,large"
QQWVCTZTGVJUCK-UHFFFAOYSA-N,solute_6778,CCCCCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,367.96100000000007,29.54,polar,large,"polar,large"
SXHWIUYWGJFLKB-UHFFFAOYSA-N,solute_6779,C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,285.73,52.32,polar,small,"polar,small"
QMJPDCOTBLUFHJ-UHFFFAOYSA-N,solute_6780,O=C(c1ccccc1O)N(C1CCCCC1)C1CCCCC1,301.43000000000006,40.54,polar,large,"polar,large"
OHBLHFXKSYTWQO-UHFFFAOYSA-N,solute_6781,CN1CCN(CCC=C2c3ccccc3Sc3ccccc32)CC1.Cl.Cl,409.4260000000001,6.48,non-polar,large,"non-polar,large"
WDRYRZXSPDWGEB-UHFFFAOYSA-N,solute_6782,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,321.16300000000007,55.12,polar,large,"polar,large"
UMSGKTJDUHERQW-UHFFFAOYSA-N,solute_6783,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,393.69700000000006,43.07,polar,large,"polar,large"
